name,value
AB_Anforderung_eCall,keine_Anforderung
BCM_Bremsbelag_Sensor,OK
BCM_Bremsbelag_Sensor_CND,OK
BCM_Bremsbelag_Sensor_NAR,OK
BCM_Bremsbelag_Sensor_Rdw,OK
BCM_Kuehlmittel_Sensor,OK
BMS_DC_Ladeprofil_Wechsel,keinWechselMoeglich
BMS_DC_Ladeschuetze_Ist,Init
BMS_IsoFehler,IsoFehler_Schwelle_2
BMS_IsoFehler,IWU_defekt
BMS_IsoFehler,kein_IsoFehler
BMS_Nutzbare_EntladeEnergie,30650
BMS_Nutzbare_EntladeEnergie,46195
BMS_Nutzbare_EntladeEnergie,46400
BMS_Nutzbare_EntladeEnergie,41540
BMS_Nutzbare_EntladeEnergie,58265
BMS_Nutzbare_EntladeEnergie,53830
BMS_Nutzbare_EntladeEnergie,55835
BMS_Nutzbare_EntladeEnergie,30230
BMS_Nutzbare_EntladeEnergie,48260
BMS_Nutzbare_EntladeEnergie,46330
BMS_Nutzbare_EntladeEnergie,55905
BMS_Nutzbare_EntladeEnergie,39520
BMS_Nutzbare_EntladeEnergie,39275
BMS_Nutzbare_EntladeEnergie,40115
BMS_Nutzbare_EntladeEnergie,25285
BMS_Nutzbare_EntladeEnergie,26460
BMS_Nutzbare_EntladeEnergie,38080
BMS_Nutzbare_EntladeEnergie,53975
BMS_Nutzbare_EntladeEnergie,27270
BMS_Nutzbare_EntladeEnergie,30380
BMS_Nutzbare_EntladeEnergie,46390
BMS_Nutzbare_EntladeEnergie,45095
BMS_Nutzbare_EntladeEnergie,47935
BMS_Nutzbare_EntladeEnergie,44080
BMS_Nutzbare_EntladeEnergie,52170
BMS_Nutzbare_EntladeEnergie,27230
BMS_Nutzbare_EntladeEnergie,26295
BMS_Nutzbare_EntladeEnergie,30140
BMS_Nutzbare_EntladeEnergie,23645
BMS_Nutzbare_EntladeEnergie,41285
BMS_Nutzbare_EntladeEnergie,44640
BMS_Nutzbare_EntladeEnergie,47960
BMS_Nutzbare_EntladeEnergie,47125
BMS_Nutzbare_EntladeEnergie,36300
BMS_Nutzbare_EntladeEnergie,46045
BMS_Nutzbare_EntladeEnergie,45075
BMS_Nutzbare_EntladeEnergie,31785
BMS_Nutzbare_EntladeEnergie,44710
BMS_Nutzbare_EntladeEnergie,47595
BMS_Nutzbare_EntladeEnergie,26745
BMS_Nutzbare_EntladeEnergie,26775
BMS_Nutzbare_EntladeEnergie,37830
BMS_Nutzbare_EntladeEnergie,50675
BMS_Nutzbare_EntladeEnergie,47820
BMS_Nutzbare_EntladeEnergie,44245
BMS_Nutzbare_EntladeEnergie,53045
BMS_Nutzbare_EntladeEnergie,47805
BMS_Nutzbare_EntladeEnergie,57205
BMS_Nutzbare_EntladeEnergie,46295
BMS_Nutzbare_EntladeEnergie,47840
BMS_Nutzbare_EntladeEnergie,26750
BMS_Nutzbare_EntladeEnergie,29775
BMS_Nutzbare_EntladeEnergie,26575
BMS_Nutzbare_EntladeEnergie,57575
BMS_Nutzbare_EntladeEnergie,53625
BMS_Nutzbare_EntladeEnergie,30580
BMS_Nutzbare_EntladeEnergie,37780
BMS_Nutzbare_EntladeEnergie,58035
BMS_Nutzbare_EntladeEnergie,46610
BMS_Nutzbare_EntladeEnergie,39250
BMS_Nutzbare_EntladeEnergie,26345
BMS_Nutzbare_EntladeEnergie,48125
BMS_Nutzbare_EntladeEnergie,26350
BMS_Nutzbare_EntladeEnergie,28365
BMS_Nutzbare_EntladeEnergie,49935
BMS_Nutzbare_EntladeEnergie,40985
BMS_Nutzbare_EntladeEnergie,23765
BMS_Nutzbare_EntladeEnergie,55710
BMS_Nutzbare_EntladeEnergie,24125
BMS_Nutzbare_EntladeEnergie,57990
BMS_Nutzbare_EntladeEnergie,56535
BMS_Nutzbare_EntladeEnergie,24470
BMS_Nutzbare_EntladeEnergie,53980
BMS_Nutzbare_EntladeEnergie,41815
BMS_Nutzbare_EntladeEnergie,45980
BMS_Nutzbare_EntladeEnergie,53955
BMS_Nutzbare_EntladeEnergie,49160
BMS_Nutzbare_EntladeEnergie,57315
BMS_Nutzbare_EntladeEnergie,30470
BMS_Nutzbare_EntladeEnergie,52410
BMS_Nutzbare_EntladeEnergie,44725
BMS_Nutzbare_EntladeEnergie,43885
BMS_Nutzbare_EntladeEnergie,50630
BMS_Nutzbare_EntladeEnergie,52320
BMS_Nutzbare_EntladeEnergie,45065
BMS_Nutzbare_EntladeEnergie,57125
BMS_Nutzbare_EntladeEnergie,39135
BMS_Nutzbare_EntladeEnergie,39740
BMS_Nutzbare_EntladeEnergie,26480
BMS_Nutzbare_EntladeEnergie,30630
BMS_Nutzbare_EntladeEnergie,47110
BMS_Nutzbare_EntladeEnergie,39700
BMS_Nutzbare_EntladeEnergie,57645
BMS_Nutzbare_EntladeEnergie,41370
BMS_Nutzbare_EntladeEnergie,36560
BMS_Nutzbare_EntladeEnergie,48375
BMS_Nutzbare_EntladeEnergie,45955
BMS_Nutzbare_EntladeEnergie,55775
BMS_Nutzbare_EntladeEnergie,52285
